USCIS ID,Question,Option A,Option B,Option C,Option D,Correct Option,Official Answer,Visual Memory Hook URL,Why This Answer?,Topic,Sub-Topic
41,"Name one power of the president.","✓ Signs bills into law","Not provided","Not provided","Not provided",A,"Signs bills into law",https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/69710272ce3bc6b1074e1740/e91b60641_generated_image.png,"","American Government","System of Government"
42,"Who is Commander in Chief of the U.S. military?","✓ The President (of the United States)","Not provided","Not provided","Not provided",A,"The President (of the United States)",https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/69710272ce3bc6b1074e1740/cc8d66ebf_generated_image.png,"","American Government","System of Government"
43,"Who signs bills to become laws?","✓ The President (of the United States)","Not provided","Not provided","Not provided",A,"The President (of the United States)",https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/69710272ce3bc6b1074e1740/96ca0623b_generated_image.png,"","American Government","System of Government"
44,"Who vetoes bills?","✓ The President (of the United States)","Not provided","Not provided","Not provided",A,"The President (of the United States)",https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/69710272ce3bc6b1074e1740/cb514a06b_generated_image.png,"","American Government","System of Government"
45,"Who appoints federal judges?","✓ The President (of the United States)","Not provided","Not provided","Not provided",A,"The President (of the United States)",https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/69710272ce3bc6b1074e1740/e691f1bc8_generated_image.png,"","American Government","System of Government"
49,"Why is the Electoral College important?","✓ It decides who is elected president.","Not provided","Not provided","Not provided",A,"It decides who is elected president.",https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/69710272ce3bc6b1074e1740/f23c4514f_generated_image.png,"","American Government","System of Government"
50,"What is one part of the judicial branch?","✓ Supreme Court","Not provided","Not provided","Not provided",A,"Supreme Court",https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/69710272ce3bc6b1074e1740/b3607fe0d_generated_image.png,"","American Government","System of Government"
51,"What does the judicial branch do?","✓ Reviews laws","Not provided","Not provided","Not provided",A,"Reviews laws",https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/69710272ce3bc6b1074e1740/cd63a7409_generated_image.png,"","American Government","System of Government"
52,"What is the highest court in the United States?","✓ Supreme Court","Not provided","Not provided","Not provided",A,"Supreme Court",https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/69710272ce3bc6b1074e1740/a70435959_generated_image.png,"","American Government","System of Government"
53,"How many seats are on the Supreme Court?","✓ Nine (9)","Not provided","Not provided","Not provided",A,"Nine (9)",https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/69710272ce3bc6b1074e1740/7614f6e85_generated_image.png,"","American Government","System of Government"
54,"How many Supreme Court justices are usually needed to decide a case?","✓ Five (5)","Not provided","Not provided","Not provided",A,"Five (5)",https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/69710272ce3bc6b1074e1740/660b55b17_generated_image.png,"","American Government","System of Government"
55,"How long do Supreme Court justices serve?","✓ For life","Not provided","Not provided","Not provided",A,"For life",https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/69710272ce3bc6b1074e1740/cfb757194_generated_image.png,"","American Government","System of Government"
56,"Supreme Court justices serve for life. Why?","✓ To be independent (of politics)","Not provided","Not provided","Not provided",A,"To be independent (of politics)",https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/69710272ce3bc6b1074e1740/481a8d759_generated_image.png,"","American Government","System of Government"
57,"Who is the Chief Justice of the United States now?","✓ Not provided","Not provided","Not provided","Not provided",A,"[Current Chief Justice]",https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/69710272ce3bc6b1074e1740/55b0f7081_generated_image.png,"","American Government","System of Government"
58,"Name one power that is only for the federal government.","✓ Print paper money","Not provided","Not provided","Not provided",A,"Print paper money",https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/69710272ce3bc6b1074e1740/55ef20f94_generated_image.png,"","American Government","System of Government"
59,"Name one power that is only for the states.","✓ Provide schooling and education","Not provided","Not provided","Not provided",A,"Provide schooling and education",https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/69710272ce3bc6b1074e1740/7f9f1b4fc_generated_image.png,"","American Government","System of Government"
60,"What is the purpose of the 10th Amendment?","✓ Powers not given to the federal government belong to the states or the people.","Not provided","Not provided","Not provided",A,"Powers not given to the federal government belong to the states or the people.",https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/69710272ce3bc6b1074e1740/0c16b214c_generated_image.png,"","American Government","System of Government"
61,"Who is the governor of your state now?","✓ Not provided","Not provided","Not provided","Not provided",A,"[Current Governor]",https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/69710272ce3bc6b1074e1740/0dc029767_generated_image.png,"","American Government","System of Government"
62,"What is the capital of your state?","✓ [Answer varies by state]","Not provided","Not provided","Not provided",A,"[Answer varies by state]",https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/69710272ce3bc6b1074e1740/dbd112b34_generated_image.png,"","American Government","System of Government"
63,"There are four amendments to the U.S. Constitution about who can vote. Describe one of them.","✓ Citizens eighteen (18) and older (can vote).","Not provided","Not provided","Not provided",A,"Citizens eighteen (18) and older (can vote).",https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/69710272ce3bc6b1074e1740/a71ac4057_generated_image.png,"","American Government","Rights & Responsibilities"
64,"Who can vote in federal elections, run for federal office, and serve on a jury in the United States?","✓ Citizens of the United States","Not provided","Not provided","Not provided",A,"Citizens of the United States",https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/69710272ce3bc6b1074e1740/52a3f5ecc_generated_image.png,"","American Government","Rights & Responsibilities"
65,"What are three rights of everyone living in the United States?","✓ Freedom of speech","Not provided","Not provided","Not provided",A,"Freedom of speech",https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/69710272ce3bc6b1074e1740/edcde16f2_generated_image.png,"","American Government","Rights & Responsibilities"
66,"What do we show loyalty to when we say the Pledge of Allegiance?","✓ The United States","Not provided","Not provided","Not provided",A,"The United States",https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/69710272ce3bc6b1074e1740/df3c7030c_generated_image.png,"","American Government","Rights & Responsibilities"
67,"Name two promises that new citizens make in the Oath of Allegiance.","✓ Defend the (U.S.) Constitution","Not provided","Not provided","Not provided",A,"Defend the (U.S.) Constitution",https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/69710272ce3bc6b1074e1740/b12ac54b7_generated_image.png,"","American Government","Rights & Responsibilities"
68,"How can people become United States citizens?","✓ Naturalize","Not provided","Not provided","Not provided",A,"Naturalize",https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/69710272ce3bc6b1074e1740/736cac0a1_generated_image.png,"","American Government","Rights & Responsibilities"
69,"Name two examples of civic participation in the United States.","✓ Vote","Not provided","Not provided","Not provided",A,"Vote",https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/69710272ce3bc6b1074e1740/f17d63992_generated_image.png,"","American Government","Rights & Responsibilities"
70,"What is one way Americans can serve their country?","✓ Pay taxes","Not provided","Not provided","Not provided",A,"Pay taxes",https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/69710272ce3bc6b1074e1740/c062db4f3_generated_image.png,"","American Government","Rights & Responsibilities"
71,"Why is it important to pay federal taxes?","✓ Required by law","Not provided","Not provided","Not provided",A,"Required by law",https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/69710272ce3bc6b1074e1740/b3a87cd02_generated_image.png,"","American Government","Rights & Responsibilities"
72,"It is important for all men age 18 through 25 to register for the Selective Service. Name one reason why.","✓ Required by law","Not provided","Not provided","Not provided",A,"Required by law",https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/69710272ce3bc6b1074e1740/e47f4b9d2_generated_image.png,"","American Government","Rights & Responsibilities"
73,"The colonists came to America for many reasons. Name one.","✓ Freedom","Not provided","Not provided","Not provided",A,"Freedom",https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/69710272ce3bc6b1074e1740/082a762f3_generated_image.png,"","American History","Colonial & Independence"
74,"Who lived in America before the Europeans arrived?","✓ American Indians","Not provided","Not provided","Not provided",A,"American Indians",https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/69710272ce3bc6b1074e1740/60188b457_generated_image.png,"","American History","Colonial & Independence"
75,"What group of people was taken and sold as slaves?","✓ Africans","Not provided","Not provided","Not provided",A,"Africans",https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/69710272ce3bc6b1074e1740/baef65074_generated_image.png,"","American History","Colonial & Independence"
76,"What war did the Americans fight to win independence from Britain?","✓ American Revolution","Not provided","Not provided","Not provided",A,"American Revolution",https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/69710272ce3bc6b1074e1740/d79b60ac4_generated_image.png,"","American History","Colonial & Independence"
77,"Name one reason why the Americans declared independence from Britain.","✓ Taxation without representation","Not provided","Not provided","Not provided",A,"Taxation without representation",https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/69710272ce3bc6b1074e1740/d1965d839_generated_image.png,"","American History","Colonial & Independence"
78,"Who wrote the Declaration of Independence?","✓ (Thomas) Jefferson","Not provided","Not provided","Not provided",A,"(Thomas) Jefferson",https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/69710272ce3bc6b1074e1740/299b2dd19_generated_image.png,"","American History","Colonial & Independence"
79,"When was the Declaration of Independence adopted?","✓ July 4, 1776","Not provided","Not provided","Not provided",A,"July 4, 1776",https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/69710272ce3bc6b1074e1740/8320a5e82_generated_image.png,"","American History","Colonial & Independence"
80,"The American Revolution had many important events. Name one.","✓ (Battle of) Saratoga","Not provided","Not provided","Not provided",A,"(Battle of) Saratoga",https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/69710272ce3bc6b1074e1740/611c50e3e_generated_image.png,"","American History","Colonial & Independence"
81,"There were 13 original states. Name five.","✓ New York","Not provided","Not provided","Not provided",A,"New York",https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/69710272ce3bc6b1074e1740/9e9ad75bd_generated_image.png,"","American History","Colonial & Independence"
82,"What founding document was written in 1787?","✓ (U.S.) Constitution","Not provided","Not provided","Not provided",A,"(U.S.) Constitution",https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/69710272ce3bc6b1074e1740/08ef20c7b_generated_image.png,"","American History","Colonial & Independence"
83,"The Federalist Papers supported the passage of the U.S. Constitution. Name one of the writers.","✓ (James) Madison","Not provided","Not provided","Not provided",A,"(James) Madison",https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/69710272ce3bc6b1074e1740/44bfa55b1_generated_image.png,"","American History","Colonial & Independence"
84,"Why were the Federalist Papers important?","✓ They helped people understand the (U.S.) Constitution.","Not provided","Not provided","Not provided",A,"They helped people understand the (U.S.) Constitution.",https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/69710272ce3bc6b1074e1740/f76d6513c_generated_image.png,"","American History","Colonial & Independence"
85,"Benjamin Franklin is famous for many things. Name one.","✓ First Postmaster General of the United States","Not provided","Not provided","Not provided",A,"First Postmaster General of the United States",https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/69710272ce3bc6b1074e1740/41549ba13_generated_image.png,"","American History","Colonial & Independence"
86,"George Washington is famous for many things. Name one.","✓ First president of the United States","Not provided","Not provided","Not provided",A,"First president of the United States",https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/69710272ce3bc6b1074e1740/fa0865957_generated_image.png,"","American History","Colonial & Independence"
87,"Thomas Jefferson is famous for many things. Name one.","✓ Writer of the Declaration of Independence","Not provided","Not provided","Not provided",A,"Writer of the Declaration of Independence",https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/69710272ce3bc6b1074e1740/a079a54ce_generated_image.png,"","American History","Colonial & Independence"
88,"James Madison is famous for many things. Name one.","✓ “Father of the Constitution”","Not provided","Not provided","Not provided",A,"“Father of the Constitution”",https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/69710272ce3bc6b1074e1740/12f60e0da_generated_image.png,"","American History","Colonial & Independence"
89,"Alexander Hamilton is famous for many things. Name one.","✓ First Secretary of the Treasury","Not provided","Not provided","Not provided",A,"First Secretary of the Treasury",https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/69710272ce3bc6b1074e1740/e397dd41e_generated_image.png,"","American History","Colonial & Independence"
90,"What territory did the United States buy from France in 1803?","✓ Louisiana Territory","Not provided","Not provided","Not provided",A,"Louisiana Territory",https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/69710272ce3bc6b1074e1740/375331634_generated_image.png,"","American History","1800s"
91,"Name one war fought by the United States in the 1800s.","✓ Civil War","Not provided","Not provided","Not provided",A,"Civil War",https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/69710272ce3bc6b1074e1740/aefe4d251_generated_image.png,"","American History","1800s"
92,"Name the U.S. war between the North and the South.","✓ The Civil War","Not provided","Not provided","Not provided",A,"The Civil War",https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/69710272ce3bc6b1074e1740/4668ff7e3_generated_image.png,"","American History","1800s"
93,"The Civil War had many important events. Name one.","✓ (Battle of) Gettysburg","Not provided","Not provided","Not provided",A,"(Battle of) Gettysburg",https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/69710272ce3bc6b1074e1740/ea9daf299_generated_image.png,"","American History","1800s"
94,"Abraham Lincoln is famous for many things. Name one.","✓ Freed the slaves (Emancipation Proclamation)","Not provided","Not provided","Not provided",A,"Freed the slaves (Emancipation Proclamation)",https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/69710272ce3bc6b1074e1740/306f4d5df_generated_image.png,"","American History","1800s"
95,"What did the Emancipation Proclamation do?","✓ Freed the slaves","Not provided","Not provided","Not provided",A,"Freed the slaves",https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/69710272ce3bc6b1074e1740/51cbe1069_generated_image.png,"","American History","1800s"
96,"What U.S. war ended slavery?","✓ The Civil War","Not provided","Not provided","Not provided",A,"The Civil War",https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/69710272ce3bc6b1074e1740/4d4cd71f3_generated_image.png,"","American History","1800s"
97,"What amendment says all persons born or naturalized in the United States are U.S. citizens?","✓ 14th Amendment","Not provided","Not provided","Not provided",A,"14th Amendment",https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/69710272ce3bc6b1074e1740/17a1ce7bd_generated_image.png,"","American History","Recent History & Other"
98,"When did all men get the right to vote?","✓ With the 15th Amendment","Not provided","Not provided","Not provided",A,"With the 15th Amendment",https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/69710272ce3bc6b1074e1740/42efd2952_generated_image.png,"","American History","Recent History & Other"
99,"Name one leader of the women’s rights movement in the 1800s.","✓ Susan B. Anthony","Not provided","Not provided","Not provided",A,"Susan B. Anthony",https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/69710272ce3bc6b1074e1740/e8b08c3a4_generated_image.png,"","American History","Recent History & Other"
100,"Name one war fought by the United States in the 1900s.","✓ World War II","Not provided","Not provided","Not provided",A,"World War II",https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/69710272ce3bc6b1074e1740/cb17c96a4_generated_image.png,"","American History","Recent History & Other"
101,"Why did the United States enter World War I?","✓ Because Germany attacked U.S. (civilian) ships","Not provided","Not provided","Not provided",A,"Because Germany attacked U.S. (civilian) ships",https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/69710272ce3bc6b1074e1740/469445221_generated_image.png,"","American History","Recent History & Other"
102,"When did all women get the right to vote?","✓ 1920","Not provided","Not provided","Not provided",A,"1920",https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/69710272ce3bc6b1074e1740/ec1d03742_generated_image.png,"","American History","Recent History & Other"
